delivery_id,order_id,delivery_status,delivery_time,rider_id
1,1,Delivered,2025-06-05 20:10:00,125
2,2,Delivered,2025-01-15 03:20:00,60
4,4,Delivered,2025-01-29 22:04:00,108
5,5,In Transit,2025-07-29 12:52:00,181
6,6,Picked Up,2025-05-25 12:49:00,194
7,7,Picked Up,2025-03-30 20:59:00,2
8,8,In Transit,2025-02-02 20:49:00,172
9,9,Picked Up,2024-10-27 23:53:00,33
10,10,Delivered,2025-08-21 21:04:00,36
11,11,Delivered,2025-02-09 17:37:00,153
12,12,Delivered,2024-10-23 16:35:00,131
13,13,Assigned,2025-08-09 11:13:00,138
14,14,Picked Up,2025-01-03 19:43:00,108
15,15,Delivered,2025-08-01 19:28:00,159
16,16,Delivered,2024-09-11 21:06:00,33
17,17,Picked Up,2025-02-04 09:29:00,128
18,18,Picked Up,2025-06-02 20:08:00,69
19,19,Picked Up,2025-08-05 21:47:00,185
20,20,Assigned,2024-09-30 17:10:00,40
21,21,Delivered,2024-11-15 13:15:00,143
22,22,Delivered,2025-02-25 03:45:00,144
23,23,In Transit,2025-03-10 15:58:00,83
24,24,Assigned,2025-02-06 14:34:00,10
25,25,Delivered,2025-04-17 14:55:00,145
26,26,Delivered,2025-03-13 22:39:00,21
27,27,Picked Up,2025-05-28 13:33:00,196
28,28,Delivered,2024-12-17 06:42:00,119
29,29,Assigned,2025-02-13 14:56:00,77
30,30,Assigned,2025-06-19 09:15:00,159
31,31,Assigned,2024-12-13 18:27:00,73
32,32,Delivered,2024-10-12 14:02:00,186
33,33,Assigned,2025-03-18 12:56:00,155
34,34,Picked Up,2025-02-07 22:39:00,127
35,35,Assigned,2025-05-30 14:11:00,158
36,36,Delivered,2025-04-03 22:20:00,108
37,37,In Transit,2024-11-25 13:07:00,107
38,38,Assigned,2024-10-17 22:33:00,103
39,39,Delivered,2024-09-19 14:16:00,77
40,40,Delivered,2025-02-01 19:59:00,148
41,41,Delivered,2025-01-02 23:27:00,48
42,42,Delivered,2025-06-09 20:17:00,26
43,43,Delivered,2025-07-01 17:41:00,91
44,44,Delivered,2025-06-09 20:43:00,195
45,45,Delivered,2025-03-04 09:42:00,49
46,46,Assigned,2024-12-22 13:14:00,84
47,47,Delivered,2025-08-09 11:35:00,145
48,48,Delivered,2025-03-15 10:33:00,192
49,49,Delivered,2024-10-08 00:06:00,193
50,50,Delivered,2025-04-18 21:46:00,114
51,51,Delivered,2025-02-18 21:01:00,178
52,52,Picked Up,2024-10-22 05:06:00,106
53,53,Delivered,2025-05-29 20:50:00,55
54,54,Picked Up,2025-01-12 12:14:00,68
55,55,Delivered,2024-11-27 19:52:00,18
56,56,Picked Up,2024-12-30 12:43:00,167
57,57,Delivered,2025-02-21 20:19:00,3
58,58,Picked Up,2025-05-16 14:27:00,34
59,59,Delivered,2024-10-30 06:42:00,18
60,60,Delivered,2025-04-18 14:52:00,164
61,61,Delivered,2025-06-30 02:45:00,49
62,62,Delivered,2025-02-26 21:19:00,136
63,63,Delivered,2025-07-03 05:35:00,196
64,64,Assigned,2025-04-06 10:43:00,82
65,65,Delivered,2025-05-15 20:20:00,143
66,66,Delivered,2025-07-08 19:37:00,174
67,67,Delivered,2024-12-16 16:24:00,2
68,68,Picked Up,2025-01-13 15:07:00,106
69,69,Assigned,2024-09-14 20:02:00,170
70,70,Assigned,2025-04-20 15:51:00,23
71,71,Assigned,2025-03-30 20:45:00,126
73,73,Delivered,2024-10-18 13:32:00,45
74,74,In Transit,2024-12-16 12:41:00,50
75,75,Delivered,2025-04-12 21:43:00,110
76,76,Delivered,2025-02-25 14:39:00,108
77,77,Delivered,2024-10-09 22:29:00,43
78,78,Picked Up,2025-02-27 11:53:00,190
79,79,Delivered,2024-09-11 20:58:00,32
80,80,Assigned,2024-11-15 14:34:00,57
81,81,Delivered,2025-03-18 22:38:00,194
82,82,Delivered,2024-11-16 19:45:00,76
83,83,Delivered,2024-11-20 07:46:00,167
85,85,Assigned,2025-08-18 03:54:00,77
