order_id,customer_id,restaurant_id,order_item,order_date,order_time,order_status,total_amount
1,88,183,Classic Platter x1,2025-06-05,19:28:00,Completed,294.9
2,157,41,Enchiladas x2; Fajitas x2; Enchiladas x3,2025-01-15,02:40:00,Completed,2073.5
3,17,85,Classic Platter x2,2025-01-04,19:42:00,Cancelled,774.7
4,155,39,Special Platter x1; Deluxe Meal x3; Classic Meal x3,2025-01-29,21:19:00,Completed,2796.6
5,165,85,Classic Platter x3; Special Platter x2,2025-07-29,12:23:00,Ready for Pickup,2672.3
6,55,88,Special Dish x1; Special Meal x3; Classic Platter x1; Classic Meal x1,2025-05-25,12:10:00,Preparing,1861.4
7,178,198,Vada x3; Pongal x1; Bisi Bele Bath x2; Uttapam x2; Masala Dosa x2,2025-03-30,20:28:00,Preparing,1390.5
8,62,80,Special Meal x3; Deluxe Meal x2; Classic Platter x1; Special Platter x2,2025-02-02,19:55:00,Ready for Pickup,3060.15
9,27,183,Special Meal x1; Deluxe Meal x1; Deluxe Dish x2; Deluxe Dish x1; Deluxe Platter x1,2024-10-27,23:23:00,Preparing,1978.65
10,82,26,Vada x1; Dosa x2; Pongal x3,2025-08-21,20:30:00,Completed,678.5
11,2,21,Guacamole x1,2025-02-09,16:46:00,Completed,207.0
12,109,29,Special Meal x1; Special Meal x3; Deluxe Dish x2,2024-10-23,15:40:00,Completed,2225.75
13,62,184,Sambhar x2; Dosa x3,2025-08-09,10:26:00,Preparing,619.0
14,172,22,Rasam x1; Medu Vada x3; Medu Vada x3; Medu Vada x1; Bisi Bele Bath x2,2025-01-03,19:23:00,Preparing,1008.5
15,5,92,Bruschetta x1,2025-08-01,19:06:00,Completed,244.0
16,189,194,Quesadilla x1; Enchiladas x3; Enchiladas x3,2024-09-11,20:43:00,Completed,1962.5
17,179,123,Dal Makhani x1; Chole Bhature x1,2025-02-04,08:50:00,Preparing,468.0
18,11,81,Gobi Manchurian x2; Gobi Manchurian x2; Chilli Chicken x1,2025-06-02,19:18:00,Ready for Pickup,1065.0
19,200,13,Chilli Chicken x1; Dim Sum x2; Schezwan Noodles x3,2025-08-05,21:24:00,Ready for Pickup,1276.0
20,48,128,Dim Sum x3; Chilli Chicken x1; Schezwan Noodles x1; Schezwan Noodles x3,2024-09-30,16:20:00,Confirmed,1647.5
21,84,170,Deluxe Meal x3; Deluxe Dish x2; Deluxe Dish x3,2024-11-15,12:50:00,Completed,3330.9
22,20,172,Rasam x3; Vada x1; Vada x3; Pongal x1,2025-02-25,02:49:00,Completed,689.0
23,93,99,Tacos x3; Quesadilla x3; Salsa x2; Enchiladas x2; Burrito x3,2025-03-10,15:25:00,Ready for Pickup,2957.0
24,72,64,Special Platter x2,2025-02-06,13:35:00,Confirmed,577.5
25,199,67,Garlic Bread x3; Risotto x3; Fettuccine x1; Pasta Alfredo x1,2025-04-17,13:57:00,Completed,1777.0
26,23,175,Rasam x3; Idli x3; Medu Vada x2,2025-03-13,21:45:00,Completed,700.0
27,180,164,Deluxe Platter x1; Special Dish x2,2025-05-28,12:36:00,Ready for Pickup,877.3
28,142,34,Special Dish x2; Classic Platter x3; Deluxe Meal x1; Special Meal x1; Deluxe Meal x3,2024-12-17,05:53:00,Completed,4479.85
